x,y,group,side,descri
4.859305495829606,9.495707950482645,21.0,1.0,cercle 3pts
4.914360747447006,9.74896731788679,21.0,1.0,cercle 3pts
4.972600479358299,10.001513395930981,21.0,1.0,cercle 3pts
5.034015457937592,10.253306144664352,21.0,1.0,cercle 3pts
5.09859594613911,10.504305643572739,21.0,1.0,cercle 3pts
5.166331705040918,10.754472097907842,21.0,1.0,cercle 3pts
5.2372119954683,11.003765844996558,21.0,1.0,cercle 3pts
5.311225579696366,11.252147360529259,21.0,1.0,cercle 3pts
5.388360723231752,11.499577264826167,21.0,1.0,cercle 3pts
5.468605196673078,11.746016329080856,21.0,1.0,cercle 3pts
5.551946277649833,11.991425481579755,21.0,1.0,cercle 3pts
5.638370752839474,12.235765813896794,21.0,1.0,cercle 3pts
5.727864920062309,12.478998587062119,21.0,1.0,cercle 3pts
5.820414590453929,12.721085237704,21.0,1.0,cercle 3pts
5.916005090714787,12.96198738416286,21.0,1.0,cercle 3pts
6.014621265436542,13.201666832576464,21.0,1.0,cercle 3pts
6.116247479504921,13.44008558293543,21.0,1.0,cercle 3pts
6.2208676205785665,13.677205835107893,21.0,1.0,cercle 3pts
6.328465101643573,13.912989994832568,21.0,1.0,cercle 3pts
6.439022863643277,14.147400679679098,21.0,1.0,cercle 3pts
6.55252337818289,14.380400724974901,21.0,1.0,cercle 3pts
6.668948650308536,14.611953189697426,21.0,1.0,cercle 3pts
6.788280221360264,14.842021362330948,21.0,1.0,cercle 3pts
6.910499171898586,15.070568766687053,21.0,1.0,cercle 3pts
7.035586124704054,15.297559167687721,21.0,1.0,cercle 3pts
7.163521247849438,15.522956577110241,21.0,1.0,cercle 3pts
7.294284257843945,15.746725259292932,21.0,1.0,cercle 3pts
7.427854422849112,15.968829736800917,21.0,1.0,cercle 3pts
7.564210565965723,16.189234796050854,21.0,1.0,cercle 3pts
7.703331068591282,16.40790549289388,21.0,1.0,cercle 3pts
7.84519387384756,16.62480715815586,21.0,1.0,cercle 3pts
7.98977649007761,16.839905403134004,21.0,1.0,cercle 3pts
8.137055994411696,17.053166125049017,21.0,1.0,cercle 3pts
8.287009036401592,17.264555512451928,21.0,1.0,cercle 3pts
8.439611841722709,17.47404005058476,21.0,1.0,cercle 3pts
8.594840215943389,17.68158652669412,21.0,1.0,cercle 3pts
8.752669548360796,17.887162035296868,21.0,1.0,cercle 3pts
8.913074815902846,18.0907339833972,21.0,1.0,cercle 3pts
9.076030587095484,18.292270095654075,21.0,1.0,cercle 3pts
9.24151102609473,18.491738419498294,21.0,1.0,cercle 3pts
9.409489896782802,18.689107330198443,21.0,1.0,cercle 3pts
9.579940566927744,18.884345535874846,21.0,1.0,cercle 3pts
9.752836012405844,19.077422082460743,21.0,1.0,cercle 3pts
9.92814882148615,19.268306358609863,21.0,1.0,cercle 3pts
10.105851199176493,19.456968100549773,21.0,1.0,cercle 3pts
10.28591497163024,19.643377396879995,21.0,1.0,cercle 3pts
10.468311590613112,19.827504693314346,21.0,1.0,cercle 3pts
10.65301213802936,20.0093207973666,21.0,1.0,cercle 3pts
10.839987330506627,20.18879688297884,21.0,1.0,cercle 3pts
11.029207524038647,20.365904495091677,21.0,1.0,cercle 3pts
11.220642718685156,20.54061555415565,21.0,1.0,cercle 3pts
11.414262563328268,20.71290236058313,21.0,1.0,cercle 3pts
11.61003636048447,20.882737599139922,21.0,1.0,cercle 3pts
11.807933071171577,21.050094343276008,21.0,1.0,cercle 3pts
12.007921319829778,21.21494605939455,21.0,1.0,cercle 3pts
12.209969399296126,21.377266611058726,21.0,1.0,cercle 3pts
12.414045275831526,21.53703026313552,21.0,1.0,cercle 3pts
12.62011659419951,21.694211685875874,21.0,1.0,cercle 3pts
12.828150682796052,21.848785958930637,21.0,1.0,cercle 3pts
13.038114558829454,22.00072857530153,21.0,1.0,cercle 3pts
13.249974933549623,22.15001544522664,21.0,1.0,cercle 3pts
13.463698217525815,22.296622899999694,21.0,1.0,cercle 3pts
13.679250525972115,22.440527695722675,21.0,1.0,cercle 3pts
